Campaign ID,Campaign Name,Country,Application ID,Application name,Pricing Model,Bid,Impressions,Clicks,Installs,Completions,Spend,D1 Ad Revenue,D3 Ad Revenue,D7 Ad Revenue,D14 Ad Revenue,D30 Ad Revenue,D1 IAP Revenue,D3 IAP Revenue,D7 IAP Revenue,D14 IAP Revenue,D30 IAP Revenue,D1 ROAS,D3 ROAS,D7 ROAS,D14 ROAS,D30 ROAS,D1 Retention,D3 Retention,D7 Retention
4295025,Hempire - Android - RV - T1,GB,all,all,CPI,1.04,1152462,218985,5725,5721,8925.15,261.4,449.71,759.46,1097.14,1557.56,1438.69,2413.98,3460.26,4522.22,6144.25,19.05,32.09,47.28,62.96,86.29,0,0,0
4295025,Hempire - Android - RV - T1,DE,all,all,CPI,0.62,435160,91315,2863,2863,3633.59,171.21,301.11,453.04,585.92,728.57,727.17,1073.95,1317.37,1533.44,1676.38,24.72,37.84,48.72,58.33,66.19,0,0,0
4295025,Hempire - Android - RV - T1,AU,all,all,CPI,1.53,538830,90384,2731,2735,5274.33,128.82,217.98,376.88,587.19,910.63,928.27,1583.24,2426.01,3659.63,4564.24,20.04,34.15,53.14,80.52,103.8,0,0,0
4295025,Hempire - Android - RV - T1,HU,all,all,CPI,0.25,568479,137138,1899,1899,1846.38,12.64,19.38,32.52,45.25,60.99,47.12,177.71,249.59,277.33,299.41,3.24,10.67,15.28,17.47,19.52,0,0,0
4295025,Hempire - Android - RV - T1,ES,all,all,CPI,0.15,622467,147987,1786,1786,2780.87,19.37,32.81,52.98,74.45,106.17,45.06,79.96,156.5,164.8,194.82,2.32,4.06,7.53,8.6,10.82,0,0,0
4295025,Hempire - Android - RV - T1,NL,all,all,CPI,0.54,406285,85853,1362,1362,1701.01,36.34,58.68,97.62,140.3,189.84,204.76,325.79,443.49,585.55,631.8,14.17,22.6,31.81,42.67,48.3,0,0,0
4295025,Hempire - Android - RV - T1,CA,all,all,CPI,1.1,355715,58111,1354,1354,3217.26,103.26,173.49,280.06,398.9,551.15,294.95,550.87,957.81,1215.8,1551.95,12.38,22.51,38.48,50.19,65.37,0,0,0
4295025,Hempire - Android - RV - T1,FR,all,all,CPI,0.51,317379,61661,1039,1039,1155.69,34.17,57.83,80.08,123.53,147.16,158.47,237.73,314.01,382.26,499.24,16.67,25.57,34.1,43.76,55.93,0,0,0
4295025,Hempire - Android - RV - T1,NZ,all,all,CPI,0.56,155360,31642,780,781,949.66,24.23,46.61,83.59,125.15,228.92,70.98,149.28,257.99,326.11,496.3,10.02,20.63,35.97,47.52,76.37,0,0,0
4295025,Hempire - Android - RV - T1,AT,all,all,CPI,0.78,100008,20859,372,372,526.62,8.93,15.53,22.78,30.11,38.68,95.08,138.75,143.83,167.13,191.44,19.75,29.3,31.64,37.45,43.7,0,0,0
4295025,Hempire - Android - RV - T1,CH,all,all,CPI,1.64,52998,10299,211,211,341.96,8.83,15.48,28.64,40.52,51.04,49.11,115.83,183.4,231.25,246.47,16.94,38.4,62.01,79.47,87,0,0,0
4295025,Hempire - Android - RV - T1,SE,all,all,CPI,0.22,14586,2493,39,39,54.37,3.06,4.49,8.93,12.98,15.38,0,0,4.96,4.96,4.96,5.63,8.26,25.56,33,37.43,0,0,0
4295025,Hempire - Android - RV - T1,DE,103175,Bid Wars - Storage Auctions,CPI,2.42,107180,23613,665,665,989.33,53.54,85.23,117.9,143.92,180.34,265.86,475.67,598.65,629.24,682.43,32.29,56.7,72.43,78.15,87.21,0,0,0
4295025,Hempire - Android - RV - T1,DE,233935,Idle Theme Park Tycoon - Recreation Game,CPI,0.47,80858,20474,629,629,619.29,15.57,38.45,64.99,92.47,110.01,48.31,113.37,153.99,156.12,156.12,10.31,24.52,35.36,40.14,42.97,0,0,0
4295025,Hempire - Android - RV - T1,GB,103175,Bid Wars - Storage Auctions,CPI,0.52,53102,11481,624,624,666.37,24.08,41.21,75.55,107.69,151.39,105.14,143.59,245.87,373.9,479.66,19.39,27.73,48.23,72.27,94.7,0,0,0
4295025,Hempire - Android - RV - T1,GB,235923,Breaking Bad: Criminal Elements,CPI,0.78,40364,6368,522,521,943.14,33.67,61.59,109.96,169.16,253.27,174.62,341.89,476.55,625.54,1064.35,22.09,42.78,62.19,84.26,139.71,0,0,0
4295025,Hempire - Android - RV - T1,ES,260617,Sand Balls,CPI,0.01,104827,28499,348,348,695.83,3.4,5.75,8.21,10.51,15.85,15.2,32.38,66.73,66.73,77.8,2.67,5.48,10.77,11.1,13.46,0,0,0
