Campaign ID,Campaign Name,Country,Application ID,Application name,Pricing Model,Bid,Impressions,Clicks,Installs,Completions,Spend,D1 Ad Revenue,D3 Ad Revenue,D7 Ad Revenue,D14 Ad Revenue,D30 Ad Revenue,D1 IAP Revenue,D3 IAP Revenue,D7 IAP Revenue,D14 IAP Revenue,D30 IAP Revenue,D1 ROAS,D3 ROAS,D7 ROAS,D14 ROAS,D30 ROAS,D1 Retention,D3 Retention,D7 Retention
4295027,Hempire - iOS - RV - US,US,164361,My Story: Choose Your Own Path,CPI,0.53,19234,5055,173,172,392.36,13.74,24.5,37.43,51.5,59.66,15.96,17.95,34.93,36.92,43.91,7.57,10.82,18.44,22.53,26.4,0,0,0
4295027,Hempire - iOS - RV - US,US,222397,Mortal Kombat,CPI,0.56,24924,6350,171,171,466.62,28.25,40.95,55.87,68.9,82.87,47.85,57.8,69.76,99.72,99.72,16.31,21.16,26.92,36.14,39.13,0,0,0
4295027,Hempire - iOS - RV - US,US,250913,My Success Story business game,CPI,0.03,9547,1973,166,166,279.64,22.38,29.43,37.53,45.21,56.16,25.93,27.92,27.92,27.92,27.92,17.28,20.51,23.4,26.15,30.07,0,0,0
4295027,Hempire - iOS - RV - US,US,200627,Need for Speed No Limits,CPI,0.8,18110,4240,163,163,254.53,17.78,29.38,42.86,55.32,76.53,21.93,43.85,53.84,58.83,102.77,15.6,28.77,37.99,44.85,70.44,0,0,0
4295027,Hempire - iOS - RV - US,US,157691,Hungry Shark Evolution,CPI,0.75,29585,7607,158,157,339.15,25.56,37.12,53.75,73.2,84.17,180.71,214.65,235.59,257.55,319.46,60.82,74.23,85.31,97.52,119.01,0,0,0
4295027,Hempire - iOS - RV - US,US,226159,Cooking Mama: Let's cook!,CPI,0.56,17047,5854,155,155,532.27,22.73,33.76,54.5,71.92,93.64,102.68,181.52,221.44,265.41,478.25,23.56,40.45,51.84,63.38,107.44,0,0,0
4295027,Hempire - iOS - RV - US,US,163079,Avakin Life – 3D Virtual World,CPI,0.56,22402,6999,154,153,380.96,9.34,12.69,16.59,22.9,37.77,87.77,109.73,111.72,201.71,232.56,25.49,32.13,33.68,58.96,70.96,0,0,0
4295027,Hempire - iOS - RV - US,US,139269,Rival Stars Horse Racing,CPI,1.55,11213,2990,151,151,240.87,9.15,12.94,18.62,28.79,44.63,56.92,90.87,140.84,221.76,273.71,27.43,43.1,66.2,104.02,132.16,0,0,0
4295027,Hempire - iOS - RV - US,US,260097,Oil Tycoon - Gas Idle Factory,CPI,0.12,9957,1879,122,122,251.52,13.53,19.69,23.93,27.84,30.16,1.99,1.99,1.99,1.99,1.99,6.17,8.62,10.31,11.86,12.78,0,0,0
4295027,Hempire - iOS - RV - US,US,251645,Bud Farm: Grass Roots,CPI,0.89,10067,1665,119,119,219.01,17.67,26.72,38.83,53.24,63.04,11.98,80.86,134.81,212.73,232.72,13.54,49.12,79.29,121.45,135.05,0,0,0
