Site ID,Channel,Campaign Name,Country,Spend,Installs,IPM,CPI,D1 Total Revenue,D3 Total Revenue,D7 IAP Revenue,,D1 Total ROAS,D3 Total ROAS,D7 Total ROAS
206509,IronSource,nk_a16_is_01,US,822.45,1019,18.86792453,0.807114818,145.8264,207.6251,270.6243,138.9269,0.177307314,0.252447079,0.329046507
175829,IronSource,nk_a16_is_01,US,782.62,830,13.434986,0.942915663,162.442,247.4542,318.7501,209.951,0.20756178,0.316186911,0.407285911
182641,IronSource,nk_a16_is_01,US,745.46,919,20.48321669,0.811164309,189.2575,260.6796,295.5633,189.9233,0.253880155,0.349689588,0.396484453
284123,IronSource,nk_a16_is_01,US,738.79,808,23.2063875,0.914344059,180.2718,241.6091,291.064,161.168,0.244009529,0.327033528,0.39397393
262973,IronSource,nk_a16_is_01,US,730.29,790,7.413524521,0.924417722,144.4018,228.455,283.6064,154.203,0.197732134,0.312827781,0.388347643
273061,IronSource,nk_a16_is_01,US,726.75,856,20.1402287,0.849007009,90.3236,135.3707,166.1329,41.181,0.124284279,0.186268593,0.228597042
262501,IronSource,nk_a16_is_01,US,659.55,818,11.57590852,0.806295844,106.3042,179.6631,213.8537,73.311,0.161176863,0.272402547,0.324241832
234487,IronSource,nk_a16_is_01,US,657.56,817,19.43942134,0.804847001,91.2994,150.2943,182.3182,82.39,0.138845733,0.228563629,0.277264736
240763,IronSource,nk_a16_is_01,US,636.66,785,21.41181605,0.811031847,99.8416,159.5413,195.3257,124.313,0.156820909,0.250591053,0.306797506
149015,IronSource,nk_a16_is_01,US,608.74,745,14.52043581,0.817100671,74.2635,133.4646,167.4767,65.506,0.121995433,0.219247298,0.275120248
113551,IronSource,nk_a16_is_01,US,553.25,664,12.1678578,0.833207831,137.9199,189.7472,218.6839,125.664,0.249290375,0.342968278,0.395271396
69377,IronSource,nk_a16_is_01,US,548.17,623,21.33853953,0.87988764,83.2043,128.0757,152.772,90.741,0.151785577,0.233642301,0.278694566
182455,IronSource,nk_a16_is_01,US,547.32,651,16.65131983,0.840737327,85.4748,124.2314,151.8864,53.746,0.1561697,0.226981291,0.277509318
233789,IronSource,nk_a16_is_01,US,497.15,544,14.20884919,0.913878676,98.8415,141.6628,171.9434,102.494,0.198816253,0.284949814,0.345858192
227435,IronSource,nk_a16_is_01,US,479.66,543,14.20610627,0.88335175,84.6348,144.8612,196.2535,94.2446,0.176447484,0.302008089,0.409151274
97941,IronSource,nk_a16_is_01,US,472.72,545,23.37049743,0.867376147,73.5626,114.5917,143.4526,82.999,0.155615586,0.242409249,0.303462092
260135,IronSource,nk_a16_is_01,US,471.24,577,13.36824058,0.816707106,67.9887,111.7682,149.6726,42.609,0.144276165,0.237178932,0.317614379
266383,IronSource,nk_a16_is_01,US,468.15,567,21.75164,0.825661376,44.8072,80.9959,102.8689,32.83,0.095711204,0.17301271,0.219734914
250913,IronSource,nk_a16_is_01,US,452.55,545,21.15601102,0.830366972,83.0906,133.1382,157.4211,101.206,0.183605347,0.294195559,0.347853497
173137,IronSource,nk_a16_is_01,US,419.67,489,13.61775599,0.858220859,60.5852,100.0638,128.0457,72.1335,0.144363905,0.238434484,0.305110444
244483,IronSource,nk_a16_is_01,US,395.74,488,17.42732662,0.810942623,76.6978,119.9474,143.0337,85.5497,0.193808561,0.303096477,0.361433517
244729,IronSource,nk_a16_is_01,US,394.14,493,16.31855947,0.799472617,49.9319,75.1198,87.7157,43.995,0.126685695,0.190591668,0.222549602
232387,IronSource,nk_a16_is_01,US,370.91,434,15.57733032,0.854631336,54.6311,88.4203,110.0073,39.767,0.147289369,0.238387479,0.296587582
157083,IronSource,nk_a16_is_01,US,362.31,437,16.39528776,0.829084668,57.4017,85.3425,101.5253,42.581,0.158432558,0.235551047,0.280216665
286091,IronSource,nk_a16_is_01,US,354.66,417,23.70665151,0.850503597,45.1718,75.7071,97.4047,41.888,0.127366492,0.213463881,0.274642474
177787,IronSource,nk_a16_is_01,US,352.18,430,31.94413491,0.819023256,41.1682,74.4302,88.211,45.388,0.116895338,0.21134136,0.25047135
210285,IronSource,nk_a16_is_01,US,343.71,428,23.45076982,0.803060748,57.7962,79.8829,105.9343,50.204,0.168153967,0.232413663,0.308208373
